"","id","accepted_date","title","ps","p_value"
"729","10.1371/journal.pone.0191757","2017-12-26T00:00:00Z","Dental disease and dietary isotopes of individuals from St Gertrude Church cemetery, Riga, Latvia","p = 0.101)",0.101
"730","10.1371/journal.pone.0191757","2017-12-26T00:00:00Z","Dental disease and dietary isotopes of individuals from St Gertrude Church cemetery, Riga, Latvia","p = 0.012)",0.012
"731","10.1371/journal.pone.0191757","2017-12-26T00:00:00Z","Dental disease and dietary isotopes of individuals from St Gertrude Church cemetery, Riga, Latvia","p = 0.390)",0.39
"732","10.1371/journal.pone.0191757","2017-12-26T00:00:00Z","Dental disease and dietary isotopes of individuals from St Gertrude Church cemetery, Riga, Latvia","p = 0.126)",0.126
"733","10.1371/journal.pone.0191757","2017-12-26T00:00:00Z","Dental disease and dietary isotopes of individuals from St Gertrude Church cemetery, Riga, Latvia","p = 0.005)",0.005
"734","10.1371/journal.pone.0191757","2017-12-26T00:00:00Z","Dental disease and dietary isotopes of individuals from St Gertrude Church cemetery, Riga, Latvia","p = 0.037)",0.037
"735","10.1371/journal.pone.0191757","2017-12-26T00:00:00Z","Dental disease and dietary isotopes of individuals from St Gertrude Church cemetery, Riga, Latvia","p = 0.772)",0.772
"736","10.1371/journal.pone.0241883","2021-05-28T00:00:00Z","Human mobility at Tell Atchana (Alalakh), Hatay, Turkey during the 2nd millennium BC: Integration of isotopic and genomic evidence","p = 0.197)",0.197
"737","10.1371/journal.pone.0241883","2021-05-28T00:00:00Z","Human mobility at Tell Atchana (Alalakh), Hatay, Turkey during the 2nd millennium BC: Integration of isotopic and genomic evidence","p = 0.595)",0.595
"738","10.1371/journal.pone.0241883","2021-05-28T00:00:00Z","Human mobility at Tell Atchana (Alalakh), Hatay, Turkey during the 2nd millennium BC: Integration of isotopic and genomic evidence","p = 0.219)",0.219
"739","10.1371/journal.pone.0241883","2021-05-28T00:00:00Z","Human mobility at Tell Atchana (Alalakh), Hatay, Turkey during the 2nd millennium BC: Integration of isotopic and genomic evidence","p = 0.434)",0.434
"740","10.1371/journal.pone.0241883","2021-05-28T00:00:00Z","Human mobility at Tell Atchana (Alalakh), Hatay, Turkey during the 2nd millennium BC: Integration of isotopic and genomic evidence","p = 0.449)",0.449
"741","10.1371/journal.pone.0241883","2021-05-28T00:00:00Z","Human mobility at Tell Atchana (Alalakh), Hatay, Turkey during the 2nd millennium BC: Integration of isotopic and genomic evidence","p = 0.631)",0.631
"742","10.1371/journal.pone.0241883","2021-05-28T00:00:00Z","Human mobility at Tell Atchana (Alalakh), Hatay, Turkey during the 2nd millennium BC: Integration of isotopic and genomic evidence","p = 0.133)",0.133
"743","10.1371/journal.pone.0279556","2022-12-12T00:00:00Z","First evidence for cattle traction in Middle Neolithic Ireland: A pivotal element for resource exploitation","p = proxim",NA
"744","10.1371/journal.pone.0268257","2022-04-23T00:00:00Z","Subsistence strategy mediates ecological drivers of human violence","p = 0.03) ",0.03
"745","10.1371/journal.pone.0268257","2022-04-23T00:00:00Z","Subsistence strategy mediates ecological drivers of human violence","p = 0.045)",0.045
"746","10.1371/journal.pone.0268257","2022-04-23T00:00:00Z","Subsistence strategy mediates ecological drivers of human violence","p = 0.663)",0.663
"747","10.1371/journal.pone.0268257","2022-04-23T00:00:00Z","Subsistence strategy mediates ecological drivers of human violence","p = 0.295)",0.295
"748","10.1371/journal.pone.0268257","2022-04-23T00:00:00Z","Subsistence strategy mediates ecological drivers of human violence","p = 0.165)",0.165
"749","10.1371/journal.pone.0268257","2022-04-23T00:00:00Z","Subsistence strategy mediates ecological drivers of human violence","p = 0.0458",0.0458
"750","10.1371/journal.pone.0268257","2022-04-23T00:00:00Z","Subsistence strategy mediates ecological drivers of human violence","p = 0.0475",0.0475
"751","10.1371/journal.pone.0268257","2022-04-23T00:00:00Z","Subsistence strategy mediates ecological drivers of human violence","p = 0.1771",0.1771
"752","10.1371/journal.pone.0268257","2022-04-23T00:00:00Z","Subsistence strategy mediates ecological drivers of human violence","p < 0.0001",5e-05
"753","10.1371/journal.pone.0268257","2022-04-23T00:00:00Z","Subsistence strategy mediates ecological drivers of human violence","p = 0.0002",2e-04
"754","10.1371/journal.pone.0268257","2022-04-23T00:00:00Z","Subsistence strategy mediates ecological drivers of human violence","p < 0.0001",5e-05
"755","10.1371/journal.pone.0268257","2022-04-23T00:00:00Z","Subsistence strategy mediates ecological drivers of human violence","p = 0.0001",1e-04
"756","10.1371/journal.pone.0198558","2018-05-21T00:00:00Z","Phytoliths as an indicator of early modern humans plant gathering strategies, fire fuel and site occupation intensity during the Middle Stone Age at Pinnacle Point 5-6 (south coast, South Africa)","p = < 0.05",0.025
"757","10.1371/journal.pone.0244139","2020-12-03T00:00:00Z","Investigating Neolithic caprine husbandry in the Central Pyrenees: Insights from a multi-proxy study at Els Trocs cave (Bisaurri, Spain)","p < 0.05) ",0.025
"758","10.1371/journal.pone.0166573","2016-10-31T00:00:00Z","Provisioning the Ritual Neolithic Site of Kfar HaHoresh, Israel at the Dawn of Animal Management","p = .08) (",0.08
"759","10.1371/journal.pone.0166573","2016-10-31T00:00:00Z","Provisioning the Ritual Neolithic Site of Kfar HaHoresh, Israel at the Dawn of Animal Management","p = .88) f",0.88
"760","10.1371/journal.pone.0166573","2016-10-31T00:00:00Z","Provisioning the Ritual Neolithic Site of Kfar HaHoresh, Israel at the Dawn of Animal Management","p = .75, M",0.75
"761","10.1371/journal.pone.0166573","2016-10-31T00:00:00Z","Provisioning the Ritual Neolithic Site of Kfar HaHoresh, Israel at the Dawn of Animal Management","p = .69, E",0.69
"762","10.1371/journal.pone.0166573","2016-10-31T00:00:00Z","Provisioning the Ritual Neolithic Site of Kfar HaHoresh, Israel at the Dawn of Animal Management","p = .25). ",0.25
"763","10.1371/journal.pone.0166573","2016-10-31T00:00:00Z","Provisioning the Ritual Neolithic Site of Kfar HaHoresh, Israel at the Dawn of Animal Management","p = .036).",0.036
"764","10.1371/journal.pone.0166573","2016-10-31T00:00:00Z","Provisioning the Ritual Neolithic Site of Kfar HaHoresh, Israel at the Dawn of Animal Management","p = .03) a",0.03
"765","10.1371/journal.pone.0166573","2016-10-31T00:00:00Z","Provisioning the Ritual Neolithic Site of Kfar HaHoresh, Israel at the Dawn of Animal Management","p = .031),",0.031
"766","10.1371/journal.pone.0166573","2016-10-31T00:00:00Z","Provisioning the Ritual Neolithic Site of Kfar HaHoresh, Israel at the Dawn of Animal Management","p = .31). ",0.31
"767","10.1371/journal.pone.0166573","2016-10-31T00:00:00Z","Provisioning the Ritual Neolithic Site of Kfar HaHoresh, Israel at the Dawn of Animal Management","p = .55). ",0.55
"768","10.1371/journal.pone.0166573","2016-10-31T00:00:00Z","Provisioning the Ritual Neolithic Site of Kfar HaHoresh, Israel at the Dawn of Animal Management","p < .005),",0.005
"769","10.1371/journal.pone.0166573","2016-10-31T00:00:00Z","Provisioning the Ritual Neolithic Site of Kfar HaHoresh, Israel at the Dawn of Animal Management","p < .001) ",0.001
"770","10.1371/journal.pone.0178882","2017-05-19T00:00:00Z","Prehistoric mitochondrial DNA of domesticate animals supports a 13th century exodus from the northern US southwest","p = 0.0194",0.0194
"771","10.1371/journal.pone.0178882","2017-05-19T00:00:00Z","Prehistoric mitochondrial DNA of domesticate animals supports a 13th century exodus from the northern US southwest","p = 0.0212",0.0212
"772","10.1371/journal.pone.0178882","2017-05-19T00:00:00Z","Prehistoric mitochondrial DNA of domesticate animals supports a 13th century exodus from the northern US southwest","p = 1.0000",1
"773","10.1371/journal.pone.0178882","2017-05-19T00:00:00Z","Prehistoric mitochondrial DNA of domesticate animals supports a 13th century exodus from the northern US southwest","p = 3.14x1",3.14
"774","10.1371/journal.pone.0178882","2017-05-19T00:00:00Z","Prehistoric mitochondrial DNA of domesticate animals supports a 13th century exodus from the northern US southwest","p = 0.284)",0.284
"775","10.1371/journal.pone.0178882","2017-05-19T00:00:00Z","Prehistoric mitochondrial DNA of domesticate animals supports a 13th century exodus from the northern US southwest","p = 0.0212",0.0212
"776","10.1371/journal.pone.0178882","2017-05-19T00:00:00Z","Prehistoric mitochondrial DNA of domesticate animals supports a 13th century exodus from the northern US southwest","p = 1.0000",1
"777","10.1371/journal.pone.0178882","2017-05-19T00:00:00Z","Prehistoric mitochondrial DNA of domesticate animals supports a 13th century exodus from the northern US southwest","p = 0.284)",0.284
"778","10.1371/journal.pone.0209125","2019-02-15T00:00:00Z","Mitogenomes illuminate the origin and migration patterns of the indigenous people of the Canary Islands","p = 0.0117",0.0117
"779","10.1371/journal.pone.0209125","2019-02-15T00:00:00Z","Mitogenomes illuminate the origin and migration patterns of the indigenous people of the Canary Islands","p = 0.0038",0.0038
"780","10.1371/journal.pone.0209125","2019-02-15T00:00:00Z","Mitogenomes illuminate the origin and migration patterns of the indigenous people of the Canary Islands","p = 0.0117",0.0117
"781","10.1371/journal.pone.0209125","2019-02-15T00:00:00Z","Mitogenomes illuminate the origin and migration patterns of the indigenous people of the Canary Islands","p = 0.0012",0.0012
"782","10.1371/journal.pone.0209125","2019-02-15T00:00:00Z","Mitogenomes illuminate the origin and migration patterns of the indigenous people of the Canary Islands","p = 0.0168",0.0168
"783","10.1371/journal.pone.0209125","2019-02-15T00:00:00Z","Mitogenomes illuminate the origin and migration patterns of the indigenous people of the Canary Islands","p = 0.0029",0.0029
"784","10.1371/journal.pone.0209125","2019-02-15T00:00:00Z","Mitogenomes illuminate the origin and migration patterns of the indigenous people of the Canary Islands","p = 0.0332",0.0332
"785","10.1371/journal.pone.0209125","2019-02-15T00:00:00Z","Mitogenomes illuminate the origin and migration patterns of the indigenous people of the Canary Islands","p = 0.2364",0.2364
"786","10.1371/journal.pone.0072693","2013-07-12T00:00:00Z","Shared Brain Lateralization Patterns in Language and Acheulean Stone Tool Production: A Functional Transcranial Doppler Ultrasound Study","p = 0.013)",0.013
"787","10.1371/journal.pone.0072693","2013-07-12T00:00:00Z","Shared Brain Lateralization Patterns in Language and Acheulean Stone Tool Production: A Functional Transcranial Doppler Ultrasound Study","p = 0.0014",0.0014
"788","10.1371/journal.pone.0072693","2013-07-12T00:00:00Z","Shared Brain Lateralization Patterns in Language and Acheulean Stone Tool Production: A Functional Transcranial Doppler Ultrasound Study","p = 0.292)",0.292
"789","10.1371/journal.pone.0248086","2021-04-06T00:00:00Z","The last battle of Anne of Brittany: Solving mass grave through an interdisciplinary approach (paleopathology, biological anthropology, history, multiple isotopes and radiocarbon dating)","p = 0.0008",8e-04
"790","10.1371/journal.pone.0248086","2021-04-06T00:00:00Z","The last battle of Anne of Brittany: Solving mass grave through an interdisciplinary approach (paleopathology, biological anthropology, history, multiple isotopes and radiocarbon dating)","p = 0.0019",0.0019
"791","10.1371/journal.pone.0248086","2021-04-06T00:00:00Z","The last battle of Anne of Brittany: Solving mass grave through an interdisciplinary approach (paleopathology, biological anthropology, history, multiple isotopes and radiocarbon dating)","p = 0.93) ",0.93
"792","10.1371/journal.pone.0248086","2021-04-06T00:00:00Z","The last battle of Anne of Brittany: Solving mass grave through an interdisciplinary approach (paleopathology, biological anthropology, history, multiple isotopes and radiocarbon dating)","p = 0.0002",2e-04
"793","10.1371/journal.pone.0271296","2022-06-27T00:00:00Z","Food for the soul and food for the body. Studying dietary patterns and funerary meals in the Western Roman Empire: An anthropological and archaeozoological approach","p = 0.002,",0.002
"794","10.1371/journal.pone.0271296","2022-06-27T00:00:00Z","Food for the soul and food for the body. Studying dietary patterns and funerary meals in the Western Roman Empire: An anthropological and archaeozoological approach","p = 0.491;",0.491
"795","10.1371/journal.pone.0271296","2022-06-27T00:00:00Z","Food for the soul and food for the body. Studying dietary patterns and funerary meals in the Western Roman Empire: An anthropological and archaeozoological approach","p = 0.327;",0.327
"796","10.1371/journal.pone.0271296","2022-06-27T00:00:00Z","Food for the soul and food for the body. Studying dietary patterns and funerary meals in the Western Roman Empire: An anthropological and archaeozoological approach","p = 0.738;",0.738
"797","10.1371/journal.pone.0271296","2022-06-27T00:00:00Z","Food for the soul and food for the body. Studying dietary patterns and funerary meals in the Western Roman Empire: An anthropological and archaeozoological approach","p = 0.391)",0.391
"798","10.1371/journal.pone.0271296","2022-06-27T00:00:00Z","Food for the soul and food for the body. Studying dietary patterns and funerary meals in the Western Roman Empire: An anthropological and archaeozoological approach","p = 0.002,",0.002
"799","10.1371/journal.pone.0271296","2022-06-27T00:00:00Z","Food for the soul and food for the body. Studying dietary patterns and funerary meals in the Western Roman Empire: An anthropological and archaeozoological approach","p = 0.306;",0.306
"800","10.1371/journal.pone.0271296","2022-06-27T00:00:00Z","Food for the soul and food for the body. Studying dietary patterns and funerary meals in the Western Roman Empire: An anthropological and archaeozoological approach","p = 0.310;",0.31
"801","10.1371/journal.pone.0271296","2022-06-27T00:00:00Z","Food for the soul and food for the body. Studying dietary patterns and funerary meals in the Western Roman Empire: An anthropological and archaeozoological approach","p = 0.042;",0.042
"802","10.1371/journal.pone.0271296","2022-06-27T00:00:00Z","Food for the soul and food for the body. Studying dietary patterns and funerary meals in the Western Roman Empire: An anthropological and archaeozoological approach","p = 0.013)",0.013
"803","10.1371/journal.pone.0029273","2011-11-23T00:00:00Z","Why Levallois? A Morphometric Comparison of Experimental ‘Preferential’ Levallois Flakes versus Debitage Flakes","p = 0.012)",0.012
"804","10.1371/journal.pone.0029273","2011-11-23T00:00:00Z","Why Levallois? A Morphometric Comparison of Experimental ‘Preferential’ Levallois Flakes versus Debitage Flakes","p = 0.484)",0.484
"805","10.1371/journal.pone.0029273","2011-11-23T00:00:00Z","Why Levallois? A Morphometric Comparison of Experimental ‘Preferential’ Levallois Flakes versus Debitage Flakes","p = 0.022;",0.022
"806","10.1371/journal.pone.0029273","2011-11-23T00:00:00Z","Why Levallois? A Morphometric Comparison of Experimental ‘Preferential’ Levallois Flakes versus Debitage Flakes","p = 0.021)",0.021
"807","10.1371/journal.pone.0225713","2019-11-11T00:00:00Z","Bone spoons for prehistoric babies: Detection of human teeth marks on the Neolithic artefacts from the site Grad-Starčevo (Serbia)","p = 0.064,",0.064
"808","10.1371/journal.pone.0225713","2019-11-11T00:00:00Z","Bone spoons for prehistoric babies: Detection of human teeth marks on the Neolithic artefacts from the site Grad-Starčevo (Serbia)","p = 0.0075",0.0075
"809","10.1371/journal.pone.0225713","2019-11-11T00:00:00Z","Bone spoons for prehistoric babies: Detection of human teeth marks on the Neolithic artefacts from the site Grad-Starčevo (Serbia)","p = 0.052)",0.052
"810","10.1371/journal.pone.0225713","2019-11-11T00:00:00Z","Bone spoons for prehistoric babies: Detection of human teeth marks on the Neolithic artefacts from the site Grad-Starčevo (Serbia)","p = 0.361)",0.361
"811","10.1371/journal.pone.0225713","2019-11-11T00:00:00Z","Bone spoons for prehistoric babies: Detection of human teeth marks on the Neolithic artefacts from the site Grad-Starčevo (Serbia)","p = 0.454,",0.454
"812","10.1371/journal.pone.0225713","2019-11-11T00:00:00Z","Bone spoons for prehistoric babies: Detection of human teeth marks on the Neolithic artefacts from the site Grad-Starčevo (Serbia)","p = 0.0105",0.0105
"813","10.1371/journal.pone.0225713","2019-11-11T00:00:00Z","Bone spoons for prehistoric babies: Detection of human teeth marks on the Neolithic artefacts from the site Grad-Starčevo (Serbia)","p = 0.394)",0.394
"814","10.1371/journal.pone.0225713","2019-11-11T00:00:00Z","Bone spoons for prehistoric babies: Detection of human teeth marks on the Neolithic artefacts from the site Grad-Starčevo (Serbia)","p = 0.133)",0.133
"815","10.1371/journal.pone.0225713","2019-11-11T00:00:00Z","Bone spoons for prehistoric babies: Detection of human teeth marks on the Neolithic artefacts from the site Grad-Starčevo (Serbia)","p = 0.31, ",0.31
"816","10.1371/journal.pone.0225713","2019-11-11T00:00:00Z","Bone spoons for prehistoric babies: Detection of human teeth marks on the Neolithic artefacts from the site Grad-Starčevo (Serbia)","p = 0.237)",0.237
"817","10.1371/journal.pone.0225713","2019-11-11T00:00:00Z","Bone spoons for prehistoric babies: Detection of human teeth marks on the Neolithic artefacts from the site Grad-Starčevo (Serbia)","p = 0.007)",0.007
"818","10.1371/journal.pone.0225713","2019-11-11T00:00:00Z","Bone spoons for prehistoric babies: Detection of human teeth marks on the Neolithic artefacts from the site Grad-Starčevo (Serbia)","p = 0.392)",0.392
"819","10.1371/journal.pone.0225713","2019-11-11T00:00:00Z","Bone spoons for prehistoric babies: Detection of human teeth marks on the Neolithic artefacts from the site Grad-Starčevo (Serbia)","p = 0.465,",0.465
"820","10.1371/journal.pone.0225713","2019-11-11T00:00:00Z","Bone spoons for prehistoric babies: Detection of human teeth marks on the Neolithic artefacts from the site Grad-Starčevo (Serbia)","p = 0.264)",0.264
"821","10.1371/journal.pone.0225713","2019-11-11T00:00:00Z","Bone spoons for prehistoric babies: Detection of human teeth marks on the Neolithic artefacts from the site Grad-Starčevo (Serbia)","p = 0.338)",0.338
"822","10.1371/journal.pone.0225713","2019-11-11T00:00:00Z","Bone spoons for prehistoric babies: Detection of human teeth marks on the Neolithic artefacts from the site Grad-Starčevo (Serbia)","p = 0.119)",0.119
"823","10.1371/journal.pone.0225713","2019-11-11T00:00:00Z","Bone spoons for prehistoric babies: Detection of human teeth marks on the Neolithic artefacts from the site Grad-Starčevo (Serbia)","p = 0.005,",0.005
"824","10.1371/journal.pone.0225713","2019-11-11T00:00:00Z","Bone spoons for prehistoric babies: Detection of human teeth marks on the Neolithic artefacts from the site Grad-Starčevo (Serbia)","p = 0.238)",0.238
"825","10.1371/journal.pone.0225713","2019-11-11T00:00:00Z","Bone spoons for prehistoric babies: Detection of human teeth marks on the Neolithic artefacts from the site Grad-Starčevo (Serbia)","p = 0.048)",0.048
"826","10.1371/journal.pone.0225713","2019-11-11T00:00:00Z","Bone spoons for prehistoric babies: Detection of human teeth marks on the Neolithic artefacts from the site Grad-Starčevo (Serbia)","p = 0.0003",3e-04
"827","10.1371/journal.pone.0225713","2019-11-11T00:00:00Z","Bone spoons for prehistoric babies: Detection of human teeth marks on the Neolithic artefacts from the site Grad-Starčevo (Serbia)","p = 0.001,",0.001
"828","10.1371/journal.pone.0225713","2019-11-11T00:00:00Z","Bone spoons for prehistoric babies: Detection of human teeth marks on the Neolithic artefacts from the site Grad-Starčevo (Serbia)","p = 0.109)",0.109
"829","10.1371/journal.pone.0225713","2019-11-11T00:00:00Z","Bone spoons for prehistoric babies: Detection of human teeth marks on the Neolithic artefacts from the site Grad-Starčevo (Serbia)","p = 0.022)",0.022
"830","10.1371/journal.pone.0225713","2019-11-11T00:00:00Z","Bone spoons for prehistoric babies: Detection of human teeth marks on the Neolithic artefacts from the site Grad-Starčevo (Serbia)","p = 0.0000",0
"831","10.1371/journal.pone.0065649","2013-04-25T00:00:00Z","Earliest Evidence for Social Endogamy in the 9,000-Year-Old-Population of Basta, Jordan","p = 1.1×10",1.1
"832","10.1371/journal.pone.0134570","2015-07-13T00:00:00Z","Dynamic Monitoring Reveals Motor Task Characteristics in Prehistoric Technical Gestures","p = 0.015,",0.015
"833","10.1371/journal.pone.0134570","2015-07-13T00:00:00Z","Dynamic Monitoring Reveals Motor Task Characteristics in Prehistoric Technical Gestures","p = 0.05, ",0.05
"834","10.1371/journal.pone.0134570","2015-07-13T00:00:00Z","Dynamic Monitoring Reveals Motor Task Characteristics in Prehistoric Technical Gestures","p = 0.06, ",0.06
"835","10.1371/journal.pone.0134570","2015-07-13T00:00:00Z","Dynamic Monitoring Reveals Motor Task Characteristics in Prehistoric Technical Gestures","p = 0.06, ",0.06
"836","10.1371/journal.pone.0134570","2015-07-13T00:00:00Z","Dynamic Monitoring Reveals Motor Task Characteristics in Prehistoric Technical Gestures","p = 0.01, ",0.01
"837","10.1371/journal.pone.0250156","2021-03-30T00:00:00Z","A 115,000-year-old expedient bone technology at Lingjing, Henan, China","p < 0.000)",0
"838","10.1371/journal.pone.0250156","2021-03-30T00:00:00Z","A 115,000-year-old expedient bone technology at Lingjing, Henan, China","p < 0.000)",0
"839","10.1371/journal.pone.0250156","2021-03-30T00:00:00Z","A 115,000-year-old expedient bone technology at Lingjing, Henan, China","p < 0.000)",0
"840","10.1371/journal.pone.0250156","2021-03-30T00:00:00Z","A 115,000-year-old expedient bone technology at Lingjing, Henan, China","p < 0.000;",0
"841","10.1371/journal.pone.0250156","2021-03-30T00:00:00Z","A 115,000-year-old expedient bone technology at Lingjing, Henan, China","p < 0.000)",0
"842","10.1371/journal.pone.0250156","2021-03-30T00:00:00Z","A 115,000-year-old expedient bone technology at Lingjing, Henan, China","p < 0.000)",0
"843","10.1371/journal.pone.0250156","2021-03-30T00:00:00Z","A 115,000-year-old expedient bone technology at Lingjing, Henan, China","p = 0.998;",0.998
"844","10.1371/journal.pone.0250156","2021-03-30T00:00:00Z","A 115,000-year-old expedient bone technology at Lingjing, Henan, China","p = 0.796;",0.796
"845","10.1371/journal.pone.0250156","2021-03-30T00:00:00Z","A 115,000-year-old expedient bone technology at Lingjing, Henan, China","p = 0.800)",0.8
"846","10.1371/journal.pntd.0008600","2020-07-14T00:00:00Z","Epidemiological insights from a large-scale investigation of intestinal helminths in Medieval Europe","p = 0.0001",1e-04
"847","10.1371/journal.pntd.0008600","2020-07-14T00:00:00Z","Epidemiological insights from a large-scale investigation of intestinal helminths in Medieval Europe","p = 0.0002",2e-04
"848","10.1371/journal.pntd.0008600","2020-07-14T00:00:00Z","Epidemiological insights from a large-scale investigation of intestinal helminths in Medieval Europe","p = 0.843;",0.843
"849","10.1371/journal.pntd.0008600","2020-07-14T00:00:00Z","Epidemiological insights from a large-scale investigation of intestinal helminths in Medieval Europe","p = 0.267;",0.267
"850","10.1371/journal.pntd.0008600","2020-07-14T00:00:00Z","Epidemiological insights from a large-scale investigation of intestinal helminths in Medieval Europe","p = 0.804 ",0.804
"851","10.1371/journal.pntd.0008600","2020-07-14T00:00:00Z","Epidemiological insights from a large-scale investigation of intestinal helminths in Medieval Europe","p = 0.217;",0.217
"852","10.1371/journal.pntd.0008600","2020-07-14T00:00:00Z","Epidemiological insights from a large-scale investigation of intestinal helminths in Medieval Europe","p = 0.004)",0.004
"853","10.1371/journal.pntd.0008600","2020-07-14T00:00:00Z","Epidemiological insights from a large-scale investigation of intestinal helminths in Medieval Europe","p = 0.009)",0.009
"854","10.1371/journal.pntd.0008600","2020-07-14T00:00:00Z","Epidemiological insights from a large-scale investigation of intestinal helminths in Medieval Europe","p = 0.026,",0.026
"855","10.1371/journal.pone.0218777","2019-06-11T00:00:00Z","Domestication and large animal interactions: Skeletal trauma in northern Vietnam during the hunter-gatherer Da But period","p = 0.805)",0.805
"856","10.1371/journal.pone.0218777","2019-06-11T00:00:00Z","Domestication and large animal interactions: Skeletal trauma in northern Vietnam during the hunter-gatherer Da But period","p = 0.137,",0.137
"857","10.1371/journal.pone.0218777","2019-06-11T00:00:00Z","Domestication and large animal interactions: Skeletal trauma in northern Vietnam during the hunter-gatherer Da But period","p = 0.140)",0.14
"858","10.1371/journal.pone.0218777","2019-06-11T00:00:00Z","Domestication and large animal interactions: Skeletal trauma in northern Vietnam during the hunter-gatherer Da But period","p < 0.05. ",0.025
"859","10.1371/journal.pone.0218777","2019-06-11T00:00:00Z","Domestication and large animal interactions: Skeletal trauma in northern Vietnam during the hunter-gatherer Da But period","p = 0.805)",0.805
"860","10.1371/journal.pone.0218777","2019-06-11T00:00:00Z","Domestication and large animal interactions: Skeletal trauma in northern Vietnam during the hunter-gatherer Da But period","p = 0.823)",0.823
"861","10.1371/journal.pone.0218777","2019-06-11T00:00:00Z","Domestication and large animal interactions: Skeletal trauma in northern Vietnam during the hunter-gatherer Da But period","p = 0.267)",0.267
"862","10.1371/journal.pone.0218777","2019-06-11T00:00:00Z","Domestication and large animal interactions: Skeletal trauma in northern Vietnam during the hunter-gatherer Da But period","p = 0.486)",0.486
"863","10.1371/journal.pone.0218777","2019-06-11T00:00:00Z","Domestication and large animal interactions: Skeletal trauma in northern Vietnam during the hunter-gatherer Da But period","p = 0.315)",0.315
"864","10.1371/journal.pone.0218777","2019-06-11T00:00:00Z","Domestication and large animal interactions: Skeletal trauma in northern Vietnam during the hunter-gatherer Da But period","p = 0.251,",0.251
"865","10.1371/journal.pone.0251341","2021-05-11T00:00:00Z","Dating the Noceto Vasca Votiva, a unique wooden structure of the 15th century BCE, and the timing of a major societal change in the Bronze Age of northern Italy","p < 0.01, ",0.005
"866","10.1371/journal.pone.0229363","2020-02-04T00:00:00Z","Identifying post-marital residence patterns in prehistory: A phylogenetic comparative analysis of dwelling size","p = 0.269)",0.269
"867","10.1371/journal.pone.0229363","2020-02-04T00:00:00Z","Identifying post-marital residence patterns in prehistory: A phylogenetic comparative analysis of dwelling size","p < 0.001)",5e-04
"868","10.1371/journal.pone.0104071","2014-07-04T00:00:00Z","Diet and Human Mobility from the Lapita to the Early Historic Period on Uripiv Island, Northeast Malakula, Vanuatu","p = 0.340)",0.34
"869","10.1371/journal.pone.0251318","2021-04-23T00:00:00Z","New insights into the spatial organization, stratigraphy and human occupations of the Aceramic Neolithic at Ganj Dareh, Iran","p = .00473",0.00473
"870","10.1371/journal.pone.0251318","2021-04-23T00:00:00Z","New insights into the spatial organization, stratigraphy and human occupations of the Aceramic Neolithic at Ganj Dareh, Iran","p = 0.0288",0.0288
"871","10.1371/journal.pone.0196633","2018-04-16T00:00:00Z","Rare Late Pleistocene-early Holocene human mandibles from the Niah Caves (Sarawak, Borneo)","p = poster",1e-05
"872","10.1371/journal.pone.0179212","2017-05-25T00:00:00Z","The origin of the Acheulean. Techno-functional study of the FLK W lithic record (Olduvai, Tanzania)","p = < 0.00",0
"873","10.1371/journal.pone.0179212","2017-05-25T00:00:00Z","The origin of the Acheulean. Techno-functional study of the FLK W lithic record (Olduvai, Tanzania)","p = 0.001)",0.001
"874","10.1371/journal.pone.0179212","2017-05-25T00:00:00Z","The origin of the Acheulean. Techno-functional study of the FLK W lithic record (Olduvai, Tanzania)","p = < 0.00",0
"875","10.1371/journal.pone.0179212","2017-05-25T00:00:00Z","The origin of the Acheulean. Techno-functional study of the FLK W lithic record (Olduvai, Tanzania)","p = <0.05 ",0.025
"876","10.1371/journal.pone.0179212","2017-05-25T00:00:00Z","The origin of the Acheulean. Techno-functional study of the FLK W lithic record (Olduvai, Tanzania)","p = 0.018)",0.018
"877","10.1371/journal.pone.0179212","2017-05-25T00:00:00Z","The origin of the Acheulean. Techno-functional study of the FLK W lithic record (Olduvai, Tanzania)","p = 0.017)",0.017
"878","10.1371/journal.pone.0179212","2017-05-25T00:00:00Z","The origin of the Acheulean. Techno-functional study of the FLK W lithic record (Olduvai, Tanzania)","p = 0.019)",0.019
"879","10.1371/journal.pone.0179212","2017-05-25T00:00:00Z","The origin of the Acheulean. Techno-functional study of the FLK W lithic record (Olduvai, Tanzania)","p = 0.003)",0.003
"880","10.1371/journal.pone.0179212","2017-05-25T00:00:00Z","The origin of the Acheulean. Techno-functional study of the FLK W lithic record (Olduvai, Tanzania)","p = 0.004)",0.004
"881","10.1371/journal.pone.0179212","2017-05-25T00:00:00Z","The origin of the Acheulean. Techno-functional study of the FLK W lithic record (Olduvai, Tanzania)","p = 0.014)",0.014
"882","10.1371/journal.pone.0179212","2017-05-25T00:00:00Z","The origin of the Acheulean. Techno-functional study of the FLK W lithic record (Olduvai, Tanzania)","p = 0.018)",0.018
"883","10.1371/journal.pone.0179212","2017-05-25T00:00:00Z","The origin of the Acheulean. Techno-functional study of the FLK W lithic record (Olduvai, Tanzania)","p = < 0.00",0
"884","10.1371/journal.pone.0179212","2017-05-25T00:00:00Z","The origin of the Acheulean. Techno-functional study of the FLK W lithic record (Olduvai, Tanzania)","p = < 0.00",0
"885","10.1371/journal.pone.0179212","2017-05-25T00:00:00Z","The origin of the Acheulean. Techno-functional study of the FLK W lithic record (Olduvai, Tanzania)","p = < 0.00",0
